symbol,cik,name,sector,exchange
ADSK,769397,"Autodesk, Inc.",Information Technology,Nasdaq
FTAI,1590364,FTAI Aviation Ltd.,Information Technology,Nasdaq
ZM,1585521,"Zoom Communications, Inc.",Information Technology,Nasdaq
TTWO,946581,TAKE TWO INTERACTIVE SOFTWARE INC,Information Technology,Nasdaq
NBIS,1513845,Nebius Group N.V.,Information Technology,Nasdaq
ROK,1024478,"ROCKWELL AUTOMATION, INC",Health Care,NYSE
BE,1664703,Bloom Energy Corp,Information Technology,NYSE
TRU,1552033,TransUnion,Information Technology,NYSE
WIX,1576789,Wix.com Ltd.,Information Technology,Nasdaq
BLDR,1316835,"Builders FirstSource, Inc.",Consumer Discretionary,NYSE
OTIS,1781335,Otis Worldwide Corp,Information Technology,NYSE
AKAM,1086222,AKAMAI TECHNOLOGIES INC,Information Technology,Nasdaq
HWM,4281,Howmet Aerospace Inc.,Materials,NYSE
FIX,1035983,COMFORT SYSTEMS USA INC,Industrials,NYSE
VRT,1674101,Vertiv Holdings Co,Information Technology,NYSE
CVNA,1690820,CARVANA CO.,Consumer Discretionary,NYSE
VRSN,1014473,VERISIGN INC/CA,Information Technology,Nasdaq
TSEM,928876,TOWER SEMICONDUCTOR LTD,Information Technology,Nasdaq
GRMN,1121788,GARMIN LTD,Health Care,NYSE
FTNT,1262039,"Fortinet, Inc.",Information Technology,Nasdaq
PEN,1321732,Penumbra Inc,Health Care,NYSE
QXO,1236275,"QXO, Inc.",Industrials,NYSE
CSGP,1057352,"COSTAR GROUP, INC.",Information Technology,Nasdaq
CPRT,900075,COPART INC,Consumer Discretionary,Nasdaq
CTAS,723254,CINTAS CORP,Consumer Discretionary,Nasdaq
TWLO,1447669,TWILIO INC,Information Technology,NYSE
MNDY,1845338,monday.com Ltd.,Information Technology,Nasdaq
CRWD,1535527,"CrowdStrike Holdings, Inc.",Information Technology,Nasdaq
TECH,842023,BIO-TECHNE Corp,Health Care,Nasdaq
PKG,75677,PACKAGING CORP OF AMERICA,Materials,NYSE
OKTA,1660134,"Okta, Inc.",Information Technology,Nasdaq
CDNS,813672,CADENCE DESIGN SYSTEMS INC,Information Technology,Nasdaq
XOM,2115436,ExxonMobil Holdings Corp,Energy,NYSE
